CD_ALUNO_ANONIMIZADO,FLAG_MOBIL_REDUZ,TIPO_MOBIL_REDUZ
3726000108D24967536B4925062596,0,0
6499000109D31437749B6652802713,0,0
7643000110E20817600F3464242781,0,0
0958000125B27703758C2409254024,0,0
8233000109E24322652B4870142695,0,0
3056000109C27938582B8418372731,0,0
9794000111B6191430B7185772918,0,0
1981000111E2272609C7607642923,0,0
0400000124E25202152B0503673905,0,0
9094000110A33790685B3778752784,0,0
8492000122A29581708C6584403765,0,0
2596000123E29052837D5025513850,0,0
7831000107D22655087E2066082467,0,0
4123000114D32446565D5279513199,0,0
6102000113A32802550D8848893135,0,0
3818000120D34007537F5637703556,0,0
6158000121E5858465F3461143634,0,0
1168000122F26793257A3711063737,0,0
2216000108A11461406C3509962582,0,0
2235000110F30636705B1810162765,0,0
9527000111C23601933A7683102923,0,0
4514000115C33380751F2983453276,0,0
6237000116B14765575E6500683411,0, 
8588000123F38044569D9685553896,0,0
5481000109F31440494F3842622685,0,0
5926000112D30929453F3347102980,0,0
0143000111F14075533A8189262929,0,0
8127000122B29707774D0080873700,0,0
3630000112D25238285C1724142964,0,0
6671000115D31599825C8005023326,0,0
4647000120B31732854D4145993541,0,0
4790000124C19750003F0747573907,0,0
3154000113E35694444C2519413072,0,0
9911000123F29674935C8698703886,0,0
3315000046D8889989F2999500519,0,0
0723000110B27763696E1095042758,0,0
7938000120A32124517A0279383502,0,0
1236000122D18502173A4411743744,0,0
3162000111F13759424C1619452863,0,0
2889000111D35931666A9816732945,0,0
6091000121A27277795C1360473613,0,0
8689000109C35093495F7474702721,0,0
1724000111A9413723F2505072872,0,0
1331000111C4475164B4901142896,0,0
2653000111C18612727A8614362933,0,0
8445000113D35426144C5172323098,0,0
2203000120B36344959F8521583585,0,0
5261000124D11909649D2052283920,0,0
4677000112A18189381C2734612974,0,0
2643000112E17035612D4314282990,0,0
3972000120F23446915A4239243542,0,0
4358000110B29203420D8631402833,0,0
2660000112C28063034C4314452990,0,0
8361000121D15047951B0283163602,0,0
3701000122B26183807A1636653716,0,0
8384000123D18333775A9683513896,0,0
5322000124B23457011A3152893931,0,0
3074000124D29276789A9730413997,0,0
4901000107F35060800D0136782448,0,0
3630000110B23272360C5024112797,0,0
3692000113D34664484C5324793100,0,0
4479000102D18464046F0644211953,0,0
2610000110D32209517A1213912759,0,0
0772000110F24788495C1395532761,0,0
3902000111F6604232B0326852850,0,0
8475000115E33402777B2423063270,0,0
1900000124C26849967D5818673958,0,0
4814000110A34581760C3035952777,0,0
7436000110A13499589A8062182827,0,0
2205000113E33612448C6809923115,0,0
5715000122C39055192E5356533753,0,0
6784000114D33618441B3606123182,0,0
3104000114A37538408C4969323196,0,0
6997000115F33645505F1908283265,0,0
7510000124B38644147A7374773973,0,0
3613000124A28928074B9535803995,0,0
3702000046C14466908E6485820943,0,0
1402000125E28843829F1413694014,0,0
8771000107C35328925D8375502530,0,0
8548000108B36680093A6473282611,0,0
5653000109B36410290F6344342710,0,0
0980000109A24816917B8697612734,0,0
8718000114E34385490E0719523153,0,0
2597000114E36529902E6064253207,0,0
0296000123B21436306E5302533853,0,0
8848000124C23957757D8188153981,0,0
9261000124F25736782C8492283984,0,0
6900000110B30941937B7056822817,0,0
3195000111B12549781F8319782930,0,0
7341000113F37955273C7261283119,0,0
9254000115A34199072F2130853267,0,0
6447000115E35006307E4602783292,0,0
8726000121E27113632E6086843660,0,0
7195000125B28146869C3171624031,0,0
0145000108B32760733D6189252609,0,0
7796000109A24264051A9165772738,0,0
6624000114D34209113E8604523232,0,0
5101000120A31074250D8350563583,0,0
8210000123A27800894C8581683885,0,0
2330000106C23966371C7111072418,0,0
2318000110C5018626C6311002810,0,0
6803000122A20842673B4367413743,0,0
8881000122C21304406B4788193747,0,0
3022000112E34910075F8818083035,0,0
3274000114D37045311C5371023200,0,0
4462000123B21564664F2744173827,0,0
5831000108A20244320C2946112576,0,0
